XP_008198556.1	XP_018560752.1
XP_972381.1	XP_018560969.1
NP_001159498.1	XP_018560971.1
XP_008194892.1	XP_018560976.1
XP_969483.2	XP_018560977.1
XP_008194887.1	XP_018560979.1
XP_969556.1	XP_018560981.1
XP_008194895.1	XP_018560982.1
XP_008197689.1	XP_018560984.1
XP_974381.2	XP_018560989.1
XP_008194891.1	XP_018560992.1
XP_001814014.1	XP_018560999.1
XP_001814293.1	XP_018561000.1
XP_973431.2	XP_018561005.1
XP_008200158.1	XP_018561009.1
XP_015840213.1	XP_018561010.1
XP_970216.2	XP_018561011.1
XP_015840216.1	XP_018561027.1
XP_015835543.1	XP_018561029.1
XP_015835544.1	XP_018561031.1
XP_976200.1	XP_018561037.1
XP_008197910.1	XP_018561039.1
XP_008193009.1	XP_018561041.1
XP_969781.1	XP_018561046.1
XP_008197911.1	XP_018561048.1
XP_015835336.1	XP_018561050.1
XP_015836038.1	XP_018561054.1
XP_974793.1	XP_018561055.1
XP_015836068.1	XP_018561056.1
XP_974856.1	XP_018561057.1
XP_015835680.1	XP_018561058.2
XP_974830.1	XP_018561059.1
XP_008194373.1	XP_018561061.1
XP_008194375.1	XP_018561062.1
XP_008194376.1	XP_018561063.1
XP_008194377.1	XP_018561064.1
XP_008194378.1	XP_018561068.1
XP_974947.2	XP_018561075.1
XP_008194391.1	XP_018561076.1
XP_015835918.1	XP_018561077.1
XP_008194372.1	XP_018561078.1
XP_008194370.1	XP_018561082.1
XP_008196668.1	XP_018561084.1
XP_008194632.1	XP_018561085.1
XP_972584.2	XP_018561086.1
XP_015837993.1	XP_018561094.1
XP_008196769.1	XP_018561097.1
XP_971109.1	XP_018561099.1
XP_008197215.1	XP_018561101.1
XP_008197172.1	XP_018561103.1
XP_008197312.1	XP_018561105.1
XP_970263.1	XP_018561106.1
XP_972851.1	XP_018561109.1
XP_015838409.1	XP_018561110.1
XP_008197183.1	XP_018561111.1
XP_008197184.1	XP_018561112.1
XP_008196773.1	XP_018561114.1
XP_008197704.1	XP_018561116.1
XP_968851.2	XP_018561117.1
XP_008197224.1	XP_018561119.1
XP_972387.1	XP_018561120.1
XP_008194635.1	XP_018561121.1
XP_001807190.1	XP_018561122.1
XP_972529.1	XP_018561124.1
XP_969219.2	XP_018561128.1
XP_970397.1	XP_018561129.1
XP_001814021.1	XP_018561135.1
XP_008196637.1	XP_018561136.1
XP_015839656.1	XP_018561137.1
XP_008196689.2	XP_018561138.1
XP_008196514.1	XP_018561139.1
XP_015837783.1	XP_018561141.1
XP_015837780.1	XP_018561143.1
XP_015837785.1	XP_018561151.1
XP_008201044.1	XP_018561153.1
XP_015837784.1	XP_018561155.1
XP_975884.1	XP_018561157.1
NP_001165844.1	XP_018561158.1
XP_967093.1	XP_018561159.1
XP_968623.1	XP_018561160.1
XP_015838353.1	XP_018561161.1
NP_001164229.1	XP_018561162.1
NP_001164230.1	XP_018561163.1
XP_015838325.1	XP_018561170.1
XP_008197001.1	XP_018561172.1
XP_008197006.1	XP_018561174.1
XP_008197005.1	XP_018561175.1
XP_966864.1	XP_018561178.1
XP_967225.1	XP_018561179.1
XP_972976.2	XP_018561184.1
XP_972934.1	XP_018561186.1
XP_015840940.1	XP_018561187.1
XP_976411.2	XP_018561188.1
XP_008197213.1	XP_018561191.1
XP_008197178.1	XP_018561192.1
XP_015838357.1	XP_018561196.1
XP_008197182.1	XP_018561197.1
XP_008197181.1	XP_018561198.1
XP_008197180.1	XP_018561199.1
XP_971263.2	XP_018561200.1
XP_008196531.1	XP_018561202.1
XP_015837916.1	XP_018561203.1
XP_972490.2	XP_018561204.1
XP_008196643.1	XP_018561208.1
XP_008196500.1	XP_018561210.1
XP_001810886.1	XP_018561211.1
XP_966919.1	XP_018561212.1
XP_008197353.1	XP_018561215.1
XP_971048.1	XP_018561216.1
XP_972936.1	XP_018561217.1
XP_008196770.1	XP_018561221.1
XP_008197175.1	XP_018561223.1
XP_971046.2	XP_018561224.1
XP_974427.1	XP_018561225.1
XP_008201399.1	XP_018561229.1
XP_974788.1	XP_018561237.1
XP_008201398.1	XP_018561238.1
XP_015840456.1	XP_018561239.1
XP_015839694.1	XP_018561242.1
XP_008195255.1	XP_018561247.1
XP_974849.2	XP_018561249.1
XP_008201402.1	XP_018561250.1
XP_008201403.1	XP_018561252.1
XP_008193742.1	XP_018561256.1
XP_969351.1	XP_018561257.2
XP_968547.1	XP_018561259.1
XP_974981.1	XP_018561261.1
XP_968771.1	XP_018561262.1
NP_001161780.1	XP_018561263.1
XP_008196925.1	XP_018561264.1
XP_967760.1	XP_018561266.1
XP_969277.1	XP_018561268.1
XP_008196927.2	XP_018561270.1
XP_008196926.1	XP_018561271.1
XP_008196844.1	XP_018561272.1
XP_974930.2	XP_018561273.1
XP_974993.1	XP_018561274.1
XP_970494.1	XP_018561279.1
NP_001034505.1	XP_018561282.1
XP_008201237.1	XP_018561283.1
XP_008201243.1	XP_018561284.1
XP_015839429.1	XP_018561285.1
XP_015839446.1	XP_018561287.1
XP_015834923.1	XP_018561288.1
XP_968586.1	XP_018561290.1
XP_974350.1	XP_018561291.1
XP_974068.1	XP_018561292.1
XP_974039.1	XP_018561295.1
XP_974375.1	XP_018561296.1
XP_974398.1	XP_018561297.1
XP_008193897.1	XP_018561298.1
XP_969549.2	XP_018561307.1
XP_015835366.1	XP_018561308.1
XP_971504.1	XP_018561309.1
XP_015835360.1	XP_018561312.1
XP_969456.2	XP_018561313.1
XP_008200477.1	XP_018561314.1
XP_972904.1	XP_018561317.1
XP_008200475.1	XP_018561318.1
XP_974276.1	XP_018561320.1
XP_972708.1	XP_018561321.1
XP_008193679.1	XP_018561322.1
XP_973943.1	XP_018561323.1
XP_966461.1	XP_018561326.1
XP_972118.2	XP_018561327.1
XP_015835884.1	XP_018561331.1
XP_966355.1	XP_018561333.1
XP_008200465.1	XP_018561334.1
XP_972456.1	XP_018561335.1
XP_008200460.2	XP_018561337.1
XP_015835244.1	XP_018561338.1
XP_008193526.1	XP_018561339.1
XP_966811.1	XP_018561340.1
XP_008200471.1	XP_018561342.1
XP_008193529.1	XP_018561345.1
XP_001814267.1	XP_018561347.1
XP_968879.1	XP_018561348.1
XP_972202.1	XP_018561349.1
XP_967425.2	XP_018561351.1
XP_968968.1	XP_018561352.1
XP_015836062.1	XP_018561354.1
XP_969706.1	XP_018561355.1
XP_008200474.1	XP_018561356.1
XP_008200421.1	XP_018561358.1
NP_001164247.1	XP_018561360.1
XP_972523.1	XP_018561361.1
XP_972506.1	XP_018561362.1
XP_008200459.1	XP_018561364.1
XP_015835818.1	XP_018561365.1
XP_972271.1	XP_018561366.1
XP_968896.1	XP_018561368.1
XP_974228.1	XP_018561370.1
XP_966898.1	XP_018561375.1
XP_015836561.1	XP_018561378.1
XP_967231.3	XP_018561380.1
XP_008200662.1	XP_018561381.1
XP_971305.1	XP_018561383.1
XP_008193338.1	XP_018561384.1
XP_008193340.1	XP_018561385.1
XP_015834614.1	XP_018561386.1
XP_971366.1	XP_018561387.1
XP_969236.2	XP_018561390.1
XP_015834987.1	XP_018561395.1
XP_015834335.1	XP_018561398.1
XP_015835106.1	XP_018561399.1
XP_008192323.1	XP_018561400.1
XP_015834804.1	XP_018561401.1
XP_008192311.1	XP_018561403.1
XP_015834988.1	XP_018561404.1
XP_008192313.1	XP_018561405.1
XP_008192329.1	XP_018561409.1
XP_008192328.1	XP_018561410.1
XP_015834291.1	XP_018561411.1
XP_008192342.1	XP_018561412.1
XP_008192344.1	XP_018561413.1
XP_008201049.1	XP_018561414.1
XP_015834966.1	XP_018561417.1
XP_008191928.1	XP_018561418.1
XP_008191929.1	XP_018561419.1
XP_008192309.1	XP_018561422.1
XP_015834997.1	XP_018561424.1
XP_015834739.1	XP_018561430.1
XP_015835012.1	XP_018561431.1
XP_008194142.1	XP_018561432.2
XP_015835994.1	XP_018561436.1
XP_967137.1	XP_018561438.1
XP_001812268.1	XP_018561439.1
XP_015835977.1	XP_018561440.1
XP_015835975.1	XP_018561441.1
XP_015835976.1	XP_018561442.1
XP_015839851.1	XP_018561445.1
XP_975015.2	XP_018561446.1
XP_974953.1	XP_018561447.1
XP_974944.1	XP_018561448.1
XP_008200881.1	XP_018561449.1
XP_008196009.1	XP_018561451.2
XP_968305.1	XP_018561452.1
XP_975695.2	XP_018561453.1
XP_008195989.1	XP_018561454.1
XP_015839111.1	XP_018561456.1
XP_967534.2	XP_018561458.1
XP_008195951.1	XP_018561459.1
XP_008198314.1	XP_018561463.1
XP_975006.1	XP_018561464.1
XP_008198164.1	XP_018561468.1
XP_969017.1	XP_018561469.1
XP_008198312.1	XP_018561470.1
XP_015839275.1	XP_018561473.1
XP_968231.1	XP_018561476.1
XP_974964.1	XP_018561478.1
XP_969165.1	XP_018561480.1
XP_973773.2	XP_018561481.1
NP_001161783.1	XP_018561483.1
XP_008197279.1	XP_018561484.1
XP_008197287.1	XP_018561489.1
XP_008197288.1	XP_018561491.1
XP_015838393.1	XP_018561497.1
XP_015840736.1	XP_018561505.1
XP_975143.1	XP_018561519.1
XP_015838045.1	XP_018561521.1
XP_008194744.1	XP_018561532.1
XP_008191992.1	XP_018561533.1
XP_015836558.1	XP_018561535.1
XP_971690.1	XP_018561536.1
XP_971808.1	XP_018561537.1
XP_008191959.1	XP_018561539.1
XP_008196074.1	XP_018561542.1
XP_008194475.1	XP_018561543.1
XP_008194482.1	XP_018561544.1
XP_008194817.1	XP_018561545.1
XP_008191958.1	XP_018561547.1
XP_968954.1	XP_018561551.1
XP_015836189.1	XP_018561554.1
XP_969408.1	XP_018561556.1
XP_008200316.1	XP_018561560.1
XP_015835563.1	XP_018561566.1
XP_008200393.1	XP_018561567.1
XP_971377.1	XP_018561568.1
XP_966556.1	XP_018561569.1
XP_966382.1	XP_018561570.1
XP_015839059.1	XP_018561571.1
XP_015835226.1	XP_018561572.1
XP_970586.3	XP_018561573.1
XP_966465.1	XP_018561575.1
XP_970889.1	XP_018561576.1
XP_008200437.1	XP_018561577.1
XP_008200436.1	XP_018561578.1
XP_008200398.1	XP_018561581.1
XP_015833981.1	XP_018561584.1
XP_971171.2	XP_018561589.1
XP_967408.1	XP_018561592.1
NP_001164151.1	XP_018561595.1
XP_008191192.2	XP_018561598.1
XP_015840764.1	XP_018561599.1
XP_015834044.1	XP_018561600.1
XP_973057.1	XP_018561601.1
XP_975505.1	XP_018561602.1
XP_969465.1	XP_018561606.1
XP_008201476.1	XP_018561608.1
XP_008201026.1	XP_018561610.1
XP_970042.1	XP_018561611.1
XP_015840700.1	XP_018561614.2
XP_001816488.1	XP_018561616.1
XP_969601.1	XP_018561618.1
XP_008201465.1	XP_018561621.1
XP_008191778.1	XP_018561634.1
XP_973097.1	XP_018561635.1
XP_968658.1	XP_018561637.1
XP_008201469.1	XP_018561638.1
XP_008201594.1	XP_018561639.1
XP_975482.1	XP_018561641.1
XP_008201719.1	XP_018561642.1
XP_969534.2	XP_018561643.1
XP_008191780.1	XP_018561644.1
XP_015834031.1	XP_018561647.1
XP_008191418.1	XP_018561650.1
XP_968587.1	XP_018561653.1
XP_970236.1	XP_018561654.1
XP_015834043.1	XP_018561655.1
XP_975249.1	XP_018561656.1
XP_975241.2	XP_018561661.1
XP_966492.1	XP_018561662.1
XP_008191420.1	XP_018561666.1
XP_015834029.1	XP_018561667.1
XP_008191810.1	XP_018561668.1
XP_974298.1	XP_018561670.1
XP_008191505.1	XP_018561671.1
XP_966589.1	XP_018561672.1
XP_015840782.1	XP_018561674.1
XP_008190382.2	XP_018561675.1
XP_975499.1	XP_018561676.1
XP_967878.1	XP_018561678.1
XP_008194448.1	XP_018561680.1
XP_008194940.1	XP_018561681.1
XP_008194824.1	XP_018561684.1
XP_973234.1	XP_018561685.1
XP_969121.2	XP_018561686.1
XP_008194797.1	XP_018561687.1
XP_008194447.1	XP_018561689.1
XP_971703.1	XP_018561691.1
XP_973267.1	XP_018561692.1
XP_008194883.1	XP_018561693.1
XP_008190584.1	XP_018561694.1
XP_008194729.1	XP_018561697.1
XP_008194731.1	XP_018561698.1
XP_008201041.1	XP_018561701.1
XP_969266.1	XP_018561710.1
XP_008195968.1	XP_018561711.1
XP_001814107.1	XP_018561713.1
XP_008190626.1	XP_018561714.1
XP_015837994.1	XP_018561717.1
XP_015836269.1	XP_018561720.1
XP_015837751.1	XP_018561722.1
XP_008190573.1	XP_018561723.1
XP_008190580.2	XP_018561725.1
XP_967989.1	XP_018561727.1
XP_015836534.1	XP_018561728.1
XP_972280.1	XP_018561729.1
XP_971970.1	XP_018561730.1
XP_008190354.1	XP_018561732.1
XP_015836431.1	XP_018561733.1
XP_015836521.1	XP_018561734.1
XP_008194924.1	XP_018561735.1
XP_015836298.1	XP_018561736.1
XP_008196051.1	XP_018561742.1
XP_008190353.1	XP_018561744.1
XP_015837431.1	XP_018561745.1
XP_972760.1	XP_018561746.1
XP_974255.1	XP_018561748.1
XP_974281.1	XP_018561749.1
XP_971260.2	XP_018561750.1
XP_967914.2	XP_018561753.1
XP_008195303.1	XP_018561754.1
XP_969524.1	XP_018561756.1
XP_971101.2	XP_018561757.1
XP_015836807.1	XP_018561758.1
XP_968980.1	XP_018561759.1
XP_015837420.1	XP_018561762.1
XP_969988.2	XP_018561763.1
XP_008196302.1	XP_018561764.1
XP_970060.2	XP_018561765.1
XP_968906.1	XP_018561766.1
XP_975498.3	XP_018561767.1
XP_975538.1	XP_018561770.1
XP_975537.1	XP_018561771.1
XP_969127.1	XP_018561773.1
XP_967833.1	XP_018561774.1
XP_008195268.1	XP_018561778.1
XP_008190348.1	XP_018561784.1
XP_971419.1	XP_018561788.1
XP_972185.1	XP_018561789.1
XP_973208.1	XP_018561790.1
XP_971343.1	XP_018561793.1
XP_008197272.1	XP_018561805.1
XP_970568.2	XP_018561807.1
XP_973709.1	XP_018561809.1
XP_008197274.1	XP_018561810.1
XP_008196952.1	XP_018561811.1
XP_008196976.1	XP_018561812.1
XP_008197389.1	XP_018561814.1
XP_008197131.1	XP_018561815.1
XP_973277.1	XP_018561816.1
XP_008190340.1	XP_018561817.1
XP_008196700.1	XP_018561819.1
XP_008196478.1	XP_018561820.1
XP_001812550.1	XP_018561821.1
XP_001812329.2	XP_018561822.1
NP_001153625.1	XP_018561823.2
XP_015838521.1	XP_018561824.1
XP_968911.2	XP_018561825.1
XP_966747.1	XP_018561826.1
XP_967843.1	XP_018561828.1
XP_974426.1	XP_018561829.1
XP_015838274.1	XP_018561831.1
XP_008196687.1	XP_018561833.1
XP_015837898.1	XP_018561835.1
XP_972088.1	XP_018561842.1
XP_015838362.1	XP_018561844.1
XP_974406.1	XP_018561846.1
XP_973009.1	XP_018561849.1
XP_015838451.1	XP_018561854.1
XP_973042.1	XP_018561855.1
XP_966659.1	XP_018561857.1
XP_008196812.1	XP_018561858.1
XP_973408.1	XP_018561859.1
XP_969308.1	XP_018561860.1
XP_008196693.1	XP_018561864.1
XP_008197187.1	XP_018561865.2
XP_015838289.1	XP_018561869.1
XP_975024.1	XP_018561871.1
XP_974982.1	XP_018561874.1
XP_008197505.1	XP_018561877.1
XP_008196821.1	XP_018561879.1
XP_974970.1	XP_018561883.1
XP_008196820.1	XP_018561886.1
XP_969383.1	XP_018561894.1
XP_974994.2	XP_018561896.1
XP_015836548.1	XP_018561901.1
XP_972927.1	XP_018561902.1
NP_001107792.1	XP_018561905.1
XP_008198359.2	XP_018561907.1
XP_001810854.1	XP_018561908.1
XP_970339.1	XP_018561916.1
XP_008198289.1	XP_018561917.1
XP_973922.1	XP_018561919.1
XP_974292.2	XP_018561920.1
XP_967009.1	XP_018561922.1
XP_970146.1	XP_018561923.1
XP_970935.1	XP_018561927.1
XP_974006.1	XP_018561928.1
XP_008197745.1	XP_018561930.1
XP_971486.1	XP_018561931.1
XP_970402.1	XP_018561933.1
XP_008200643.1	XP_018561934.1
XP_008198408.1	XP_018561935.1
XP_001809957.2	XP_018561936.1
XP_971543.1	XP_018561937.1
XP_015839229.1	XP_018561938.1
XP_008191491.1	XP_018561939.1
XP_001809848.1	XP_018561941.1
XP_008200644.1	XP_018561942.1
XP_015836282.1	XP_018561947.1
XP_971422.1	XP_018561948.1
XP_008197899.1	XP_018561951.1
XP_971485.1	XP_018561952.1
XP_015835105.1	XP_018561953.2
XP_008201051.1	XP_018561954.1
XP_969865.2	XP_018561955.1
XP_008197839.1	XP_018561957.1
XP_008198343.1	XP_018561959.1
XP_975893.1	XP_018561960.1
XP_008197843.1	XP_018561961.1
XP_971362.2	XP_018561962.1
XP_008197845.1	XP_018561963.1
XP_967143.1	XP_018561966.1
XP_008198279.1	XP_018561969.1
XP_971237.1	XP_018561976.1
XP_969728.1	XP_018561977.1
XP_973979.1	XP_018561980.1
XP_968808.1	XP_018561981.1
XP_974164.1	XP_018561983.1
XP_972815.1	XP_018561984.1
NP_001034509.1	XP_018561987.1
XP_001813387.1	XP_018561989.2
XP_008190345.1	XP_018561990.1
XP_974101.1	XP_018561991.1
XP_967088.1	XP_018561992.1
XP_001812043.1	XP_018561994.1
XP_008194750.1	XP_018561996.1
XP_971866.1	XP_018561997.1
XP_973002.1	XP_018561999.1
XP_001814402.1	XP_018562002.1
XP_008196161.1	XP_018562003.1
XP_015840918.1	XP_018562004.1
XP_967344.1	XP_018562005.1
XP_967263.1	XP_018562006.1
XP_973301.2	XP_018562008.1
XP_015836439.1	XP_018562009.1
XP_015836442.1	XP_018562010.1
XP_015836446.1	XP_018562011.1
XP_015836447.1	XP_018562012.1
XP_969719.1	XP_018562013.1
XP_008196115.1	XP_018562015.1
XP_001811527.1	XP_018562017.1
XP_972795.1	XP_018562018.1
XP_008194570.1	XP_018562020.1
XP_968528.1	XP_018562021.1
XP_008191976.1	XP_018562024.1
XP_015836458.1	XP_018562026.1
XP_015836596.1	XP_018562027.1
XP_015836594.1	XP_018562028.1
XP_971223.2	XP_018562030.1
XP_008196148.1	XP_018562034.1
XP_974991.1	XP_018562035.1
XP_975031.1	XP_018562036.1
XP_008196430.1	XP_018562037.1
XP_008196431.1	XP_018562038.1
XP_015837401.1	XP_018562040.1
XP_968223.1	XP_018562046.1
XP_015836501.1	XP_018562047.1
XP_968299.1	XP_018562048.1
XP_008196417.1	XP_018562049.1
XP_008196418.1	XP_018562050.1
XP_008196419.1	XP_018562051.1
XP_008196420.1	XP_018562052.1
XP_008196421.1	XP_018562053.1
XP_008196423.1	XP_018562055.1
XP_008196424.1	XP_018562056.1
XP_008196425.1	XP_018562057.1
XP_972858.1	XP_018562059.1
XP_008196416.1	XP_018562061.1
XP_015837158.1	XP_018562063.1
XP_008195754.1	XP_018562064.1
XP_008198078.1	XP_018562065.2
XP_015838945.1	XP_018562067.1
XP_008194933.1	XP_018562068.1
XP_008198076.1	XP_018562069.1
XP_015839617.1	XP_018562076.2
XP_968185.1	XP_018562085.1
XP_966560.1	XP_018562086.1
XP_973839.1	XP_018562087.1
XP_968260.1	XP_018562091.1
XP_968418.2	XP_018562092.1
XP_970554.1	XP_018562101.1
XP_968027.1	XP_018562103.1
XP_008194660.1	XP_018562105.1
XP_967004.2	XP_018562117.1
XP_969631.2	XP_018562120.1
XP_008194155.1	XP_018562122.1
XP_008194865.1	XP_018562124.1
XP_008194005.1	XP_018562126.1
XP_008194007.1	XP_018562127.1
XP_015835922.1	XP_018562128.1
XP_015835926.1	XP_018562129.1
XP_008194004.1	XP_018562130.1
XP_968607.1	XP_018562135.1
XP_969710.2	XP_018562136.1
XP_008194090.1	XP_018562137.1
XP_974227.1	XP_018562138.1
XP_969950.2	XP_018562141.1
XP_972409.1	XP_018562143.1
XP_973404.1	XP_018562148.1
XP_974201.1	XP_018562151.1
XP_001813556.2	XP_018562153.1
NP_001103424.1	XP_018562155.1
XP_008195436.1	XP_018562158.1
XP_008195435.1	XP_018562159.1
XP_973437.1	XP_018562160.1
XP_008200487.1	XP_018562168.1
XP_969569.1	XP_018562170.1
XP_008197371.1	XP_018562172.1
XP_973080.2	XP_018562173.1
XP_969995.1	XP_018562174.1
XP_015833984.1	XP_018562175.1
XP_015838014.1	XP_018562176.1
XP_969860.2	XP_018562178.1
XP_969723.1	XP_018562180.1
XP_015837983.1	XP_018562183.1
XP_001808926.2	XP_018562185.1
XP_966392.1	XP_018562187.1
XP_015836205.1	XP_018562188.1
XP_968466.1	XP_018562189.1
XP_015838020.1	XP_018562191.1
XP_008197359.1	XP_018562192.1
XP_968383.1	XP_018562193.1
XP_008196630.1	XP_018562195.1
XP_008196686.1	XP_018562196.1
XP_001808472.1	XP_018562199.1
XP_966567.1	XP_018562203.1
XP_966478.2	XP_018562204.1
XP_015839153.1	XP_018562207.1
XP_008198430.1	XP_018562208.1
XP_008198031.1	XP_018562210.1
XP_008194655.1	XP_018562211.1
XP_972728.2	XP_018562212.1
XP_971182.1	XP_018562214.1
XP_971600.1	XP_018562216.1
XP_971546.2	XP_018562217.1
XP_008198534.1	XP_018562222.1
XP_968120.1	XP_018562224.1
XP_973804.1	XP_018562226.1
XP_008198508.1	XP_018562228.1
XP_968777.1	XP_018562229.1
XP_008197711.1	XP_018562230.1
XP_969725.1	XP_018562231.1
XP_008196834.1	XP_018562236.1
XP_008191170.2	XP_018562238.1
XP_015839226.1	XP_018562239.1
XP_008198528.1	XP_018562240.1
XP_973895.1	XP_018562241.1
XP_008198391.1	XP_018562242.1
XP_001809545.1	XP_018562243.1
XP_969224.2	XP_018562244.1
XP_008198489.1	XP_018562245.1
XP_968628.1	XP_018562247.1
XP_001812376.1	XP_018562248.1
XP_968698.1	XP_018562249.1
XP_971489.1	XP_018562250.1
XP_008198412.1	XP_018562252.1
XP_008198493.1	XP_018562254.1
XP_008198491.1	XP_018562255.1
XP_971715.1	XP_018562256.1
XP_972550.2	XP_018562258.1
XP_973680.3	XP_018562260.1
XP_966441.1	XP_018562261.1
XP_015838860.1	XP_018562262.1
XP_008193434.1	XP_018562263.1
XP_972396.3	XP_018562264.1
XP_973923.1	XP_018562267.1
XP_973980.1	XP_018562268.1
XP_008198389.1	XP_018562271.1
XP_008198388.1	XP_018562272.1
NP_001164361.1	XP_018562273.1
XP_008201125.1	XP_018562276.1
XP_972190.1	XP_018562277.1
XP_972350.2	XP_018562279.1
XP_008197748.1	XP_018562280.1
XP_008197753.1	XP_018562281.1
XP_008197747.1	XP_018562282.1
XP_015836505.1	XP_018562284.1
XP_972091.2	XP_018562285.1
XP_972292.1	XP_018562286.1
XP_969137.2	XP_018562294.1
XP_015839029.1	XP_018562295.1
XP_001810857.1	XP_018562297.1
XP_969213.1	XP_018562298.1
XP_008198194.1	XP_018562299.1
XP_969427.1	XP_018562300.1
XP_015839028.1	XP_018562302.1
XP_967142.1	XP_018562304.1
XP_008198810.1	XP_018562306.1
XP_968503.1	XP_018562312.1
XP_015839592.1	XP_018562314.1
XP_015839601.1	XP_018562317.1
XP_968336.1	XP_018562318.1
XP_008195036.1	XP_018562319.1
XP_967565.1	XP_018562322.1
XP_008198818.1	XP_018562323.1
XP_971388.2	XP_018562325.1
XP_008198808.1	XP_018562326.2
XP_008198809.1	XP_018562327.2
XP_008198804.1	XP_018562330.1
XP_008198805.1	XP_018562331.1
XP_015839579.1	XP_018562334.1
XP_008190434.1	XP_018562343.1
XP_966587.1	XP_018562344.1
XP_968805.1	XP_018562345.1
XP_008190436.1	XP_018562347.1
XP_967237.1	XP_018562348.1
XP_008198811.1	XP_018562349.1
XP_008194836.1	XP_018562364.1
XP_008194882.1	XP_018562366.1
XP_975217.1	XP_018562369.1
XP_008194752.1	XP_018562372.1
XP_015839555.1	XP_018562377.1
XP_008192100.1	XP_018562379.1
XP_971534.2	XP_018562380.1
XP_008195291.2	XP_018562387.1
XP_015837620.1	XP_018562388.1
XP_973162.1	XP_018562394.1
XP_971921.1	XP_018562395.1
XP_966911.1	XP_018562396.1
XP_008195260.1	XP_018562397.1
XP_015837703.1	XP_018562399.1
XP_015837609.1	XP_018562401.1
XP_008195313.1	XP_018562402.1
XP_008194931.1	XP_018562403.1
XP_008201343.1	XP_018562407.1
XP_008194930.1	XP_018562412.1
XP_015839372.1	XP_018562413.2
XP_974115.1	XP_018562414.1
XP_015840812.1	XP_018562415.1
XP_975509.1	XP_018562417.1
XP_974141.2	XP_018562419.1
NP_001280526.1	XP_018562425.1
XP_972313.1	XP_018562427.1
XP_015840578.1	XP_018562428.1
XP_973450.3	XP_018562429.1
XP_970769.1	XP_018562432.1
XP_008201341.1	XP_018562433.1
