NP_001034487.2	XP_023022290.1
XP_001811434.1	XP_023016729.1
XP_001811437.2	XP_023024256.1
XP_001811459.1	XP_023028838.1
XP_001811513.2	XP_023027870.1
XP_001811514.1	XP_023012784.1
XP_001811527.1	XP_023029946.1
XP_001811535.1	XP_023016831.1
XP_001811565.1	XP_023015347.1
XP_001811587.1	XP_023027671.1
XP_001811600.1	XP_023022809.1
XP_001811647.1	XP_023015597.1
XP_001811652.1	XP_023015141.1
XP_001811691.1	XP_023029433.1
XP_001811714.1	XP_023014110.1
XP_001811736.2	XP_023025415.1
XP_001811750.1	XP_023011959.1
XP_001811757.2	XP_023014088.1
XP_001811801.2	XP_023012661.1
XP_001811805.1	XP_023012182.1
XP_001811836.1	XP_023013722.1
XP_001811853.1	XP_023023556.1
XP_001811897.1	XP_023020115.1
XP_001811901.2	XP_023011627.1
XP_001811917.1	XP_023022552.1
XP_001811932.1	XP_023026398.1
XP_001811993.1	XP_023013474.1
XP_001811995.1	XP_023022432.1
XP_001811996.1	XP_023028231.1
XP_001812033.2	XP_023018953.1
XP_001812039.1	XP_023012344.1
XP_001812043.1	XP_023029949.1
XP_001812052.1	XP_023012910.1
XP_001812083.1	XP_023012665.1
XP_001812086.2	XP_023012351.1
XP_001812142.1	XP_023022505.1
XP_001812159.2	XP_023014446.1
XP_001812177.1	XP_023016405.1
XP_001812198.1	XP_023022848.1
XP_001812208.1	XP_023029590.1
XP_001812217.1	XP_023016406.1
XP_001812254.1	XP_023026672.1
XP_001812268.1	XP_023022406.1
XP_001812287.1	XP_023020106.1
XP_001812325.1	XP_023015283.1
XP_001812329.2	XP_023024402.1
XP_001812334.1	XP_023013071.1
XP_001812376.1	XP_023021564.1
XP_001812398.1	XP_023012333.1
XP_001812431.2	XP_023012500.1
XP_001812465.1	XP_023027254.1
XP_001812473.1	XP_023012512.1
XP_001812500.2	XP_023020823.1
XP_001812516.2	XP_023014880.1
XP_001812550.1	XP_023022917.1
XP_001812551.2	XP_023023616.1
XP_001812556.1	XP_023020569.1
XP_001812566.1	XP_023026750.1
XP_001812598.3	XP_023020556.1
XP_001812612.1	XP_023020807.1
XP_001812636.1	XP_023024320.1
XP_001812661.1	XP_023013779.1
XP_001812669.1	XP_023029256.1
XP_001812694.1	XP_023020601.1
XP_001812695.1	XP_023026765.1
XP_001812698.1	XP_023027745.1
XP_001812701.1	XP_023030039.1
XP_001812710.2	XP_023029254.1
XP_001812744.1	XP_023029251.1
XP_001812763.1	XP_023012501.1
XP_001812780.1	XP_023030038.1
XP_001812786.1	XP_023011814.1
XP_001812850.1	XP_023016880.1
XP_001812912.1	XP_023025746.1
XP_001812931.1	XP_023029147.1
XP_001812942.1	XP_023012610.1
XP_001812951.1	XP_023017317.1
XP_001812997.2	XP_023014592.1
XP_001812998.2	XP_023013553.1
XP_001813029.1	XP_023012476.1
XP_001813096.3	XP_023013606.1
XP_001813105.1	XP_023017322.1
XP_001813130.1	XP_023025295.1
XP_001813141.1	XP_023019269.1
XP_001813154.1	XP_023023251.1
XP_001813184.1	XP_023026989.1
XP_001813192.1	XP_023011626.1
XP_001813222.2	XP_023021363.1
XP_001813224.1	XP_023017321.1
XP_001813297.1	XP_023029640.1
XP_001813334.1	XP_023017070.1
XP_001813387.1	XP_023025425.1
XP_001813407.1	XP_023028058.1
XP_001813445.1	XP_023019081.1
XP_001813478.1	XP_023014637.1
XP_001813556.2	XP_023017450.1
XP_001813599.1	XP_023024744.1
XP_001813626.1	XP_023014100.1
XP_001813701.2	XP_023015199.1
XP_001813711.1	XP_023023627.1
XP_001813804.2	XP_023026937.1
XP_001813875.2	XP_023020100.1
XP_001813884.2	XP_023025758.1
XP_001813892.1	XP_023024516.1
XP_001813896.1	XP_023023092.1
XP_001813943.1	XP_023014500.1
XP_001813974.1	XP_023030454.1
XP_001813975.1	XP_023012642.1
XP_001814003.1	XP_023021158.1
XP_001814012.1	XP_023017071.1
XP_001814014.1	XP_023015210.1
XP_001814047.1	XP_023014390.1
XP_001814071.1	XP_023016336.1
XP_001814107.1	XP_023012708.1
XP_001814127.2	XP_023025050.1
XP_001814158.1	XP_023018682.1
XP_001814166.1	XP_023021841.1
XP_001814181.1	XP_023013278.1
XP_001814182.1	XP_023020201.1
XP_001814199.1	XP_023019090.1
XP_001814214.2	XP_023012306.1
XP_001814215.1	XP_023020676.1
XP_001814259.1	XP_023025011.1
XP_001814264.2	XP_023030176.1
XP_001814267.1	XP_023021884.1
XP_001814270.1	XP_023028652.1
XP_001814293.1	XP_023015213.1
XP_001814294.1	XP_023019856.1
XP_001814319.1	XP_023011933.1
XP_001814337.1	XP_023018220.1
XP_001814361.1	XP_023011766.1
XP_001814375.2	XP_023026187.1
XP_001814386.1	XP_023011767.1
XP_001814398.1	XP_023023221.1
XP_001814401.1	XP_023016696.1
XP_001814402.1	XP_023029958.1
XP_001814418.1	XP_023030144.1
XP_001814498.1	XP_023020467.1
XP_001814500.1	XP_023027102.1
XP_001814509.1	XP_023018064.1
XP_001814545.1	XP_023022529.1
XP_001814592.1	XP_023030447.1
XP_001814629.1	XP_023016097.1
XP_001814647.1	XP_023019591.1
XP_001814661.1	XP_023022354.1
XP_001814678.1	XP_023019631.1
XP_001814707.1	XP_023019628.1
XP_001814757.1	XP_023018546.1
XP_001814833.1	XP_023024885.1
XP_001814851.2	XP_023018764.1
XP_001814869.1	XP_023022994.1
XP_001814885.2	XP_023019131.1
XP_001814896.2	XP_023015116.1
XP_001814936.2	XP_023015346.1
XP_001815071.1	XP_023011667.1
XP_001815130.1	XP_023018190.1
XP_001815304.2	XP_023017495.1
XP_001815375.1	XP_023030078.1
XP_001815393.2	XP_023030074.1
XP_001815455.2	XP_023027942.1
XP_001815479.2	XP_023020948.1
XP_001815551.1	XP_023021932.1
XP_001815618.1	XP_023027038.1
XP_001815717.2	XP_023027738.1
XP_001815752.1	XP_023018081.1
XP_001815774.1	XP_023030137.1
XP_001815875.1	XP_023018572.1
XP_001816010.2	XP_023013019.1
XP_001816015.1	XP_023030488.1
XP_001816025.1	XP_023026121.1
XP_001816090.1	XP_023029739.1
XP_001816128.1	XP_023015021.1
XP_001816157.1	XP_023020248.1
XP_001816234.2	XP_023029570.1
XP_001816307.1	XP_023016096.1
XP_001816436.2	XP_023018522.1
XP_001816488.1	XP_023013625.1
XP_001816527.1	XP_023022261.1
XP_008190268.1	XP_023027537.1
XP_008190269.1	XP_023014480.1
XP_008190270.1	XP_023021602.1
XP_008190273.1	XP_023026924.1
XP_008190278.1	XP_023021117.1
XP_008190279.1	XP_023021126.1
XP_008190285.1	XP_023021420.1
XP_008190287.1	XP_023028569.1
XP_008190288.1	XP_023020226.1
XP_008190289.1	XP_023020227.1
XP_008190291.1	XP_023021735.1
XP_008190296.1	XP_023016820.1
XP_008190303.1	XP_023018349.1
XP_008190305.1	XP_023025102.1
XP_008190306.1	XP_023029539.1
XP_008190307.1	XP_023029541.1
XP_008190308.1	XP_023026718.1
XP_008190310.1	XP_023020637.1
XP_008190315.2	XP_023015795.1
XP_008190325.1	XP_023020369.1
XP_008190326.1	XP_023020377.1
XP_008190328.1	XP_023024721.1
XP_008190329.1	XP_023020397.1
XP_008190331.1	XP_023020877.1
XP_008190332.1	XP_023020876.1
XP_008190334.1	XP_023020896.1
XP_008190340.1	XP_023021773.1
XP_008190348.1	XP_023029774.1
XP_008190350.1	XP_023029776.1
XP_008190351.1	XP_023029775.1
XP_008190352.1	XP_023029777.1
XP_008190353.1	XP_023029779.1
XP_008190354.1	XP_023029758.1
XP_008190356.1	XP_023020295.1
XP_008190361.1	XP_023020282.1
XP_008190371.1	XP_023011576.1
XP_008190378.1	XP_023019128.1
XP_008190382.2	XP_023013629.1
XP_008190384.1	XP_023028729.1
XP_008190385.1	XP_023029316.1
XP_008190387.2	XP_023025302.1
XP_008190388.1	XP_023027090.1
XP_008190394.1	XP_023018926.1
XP_008190401.1	XP_023020766.1
XP_008190408.2	XP_023028537.1
XP_008190409.1	XP_023015342.1
XP_008190416.1	XP_023015285.1
XP_008190418.1	XP_023019282.1
XP_008190419.1	XP_023022121.1
XP_008190421.1	XP_023022136.1
XP_008190427.1	XP_023021802.1
XP_008190428.1	XP_023021805.1
XP_008190432.1	XP_023015234.1
XP_008190434.1	XP_023015896.1
XP_008190436.1	XP_023028021.1
XP_008190437.1	XP_023021494.1
XP_008190438.1	XP_023021545.1
XP_008190442.1	XP_023027974.1
XP_008190444.1	XP_023023189.1
XP_008190445.1	XP_023023192.1
XP_008190448.1	XP_023021058.1
XP_008190449.1	XP_023020995.1
XP_008190450.1	XP_023021067.1
XP_008190452.1	XP_023021083.1
XP_008190460.1	XP_023023777.1
XP_008190461.1	XP_023023772.1
XP_008190462.1	XP_023015809.1
XP_008190463.1	XP_023013805.1
XP_008190465.1	XP_023013222.1
XP_008190466.1	XP_023013223.1
XP_008190467.1	XP_023013224.1
XP_008190468.1	XP_023013225.1
XP_008190469.1	XP_023013236.1
XP_008190471.1	XP_023027651.1
XP_008190477.2	XP_023023344.1
XP_008190480.1	XP_023030474.1
XP_008190483.1	XP_023021403.1
XP_008190491.1	XP_023020396.1
XP_008190497.1	XP_023014899.1
XP_008190501.1	XP_023014884.1
XP_008190509.1	XP_023023638.1
XP_008190519.1	XP_023021692.1
XP_008190524.1	XP_023021694.1
XP_008190528.1	XP_023018421.1
XP_008190529.1	XP_023016192.1
XP_008190530.1	XP_023016195.1
XP_008190531.1	XP_023016189.1
XP_008190538.1	XP_023022597.1
XP_008190539.1	XP_023014315.1
XP_008190540.1	XP_023029683.1
XP_008190544.1	XP_023025582.1
XP_008190548.1	XP_023014427.1
XP_008190549.2	XP_023027660.1
XP_008190551.1	XP_023014913.1
XP_008190553.1	XP_023019064.1
XP_008190556.1	XP_023019374.1
XP_008190560.1	XP_023019373.1
XP_008190563.1	XP_023011661.1
XP_008190570.1	XP_023015446.1
XP_008190573.1	XP_023018628.1
XP_008190576.1	XP_023015447.1
XP_008190579.1	XP_023028041.1
XP_008190580.2	XP_023028209.1
XP_008190581.1	XP_023015400.1
XP_008190583.1	XP_023015412.1
XP_008190584.1	XP_023029973.1
XP_008190588.1	XP_023029969.1
XP_008190591.1	XP_023012555.1
XP_008190599.1	XP_023024057.1
XP_008190600.1	XP_023024070.1
XP_008190611.1	XP_023018893.1
XP_008190612.1	XP_023018892.1
XP_008190613.1	XP_023016217.1
XP_008190620.1	XP_023012712.1
XP_008190624.1	XP_023015130.1
XP_008190626.1	XP_023012713.1
XP_008190632.1	XP_023021601.1
XP_008190640.1	XP_023024259.1
XP_008190643.1	XP_023024158.1
XP_008190646.1	XP_023024218.1
XP_008190647.1	XP_023024201.1
XP_008190648.1	XP_023024145.1
XP_008190649.2	XP_023016530.1
XP_008190651.1	XP_023024260.1
XP_008190653.1	XP_023025301.1
XP_008190655.1	XP_023013203.1
XP_008190656.1	XP_023013209.1
XP_008190660.1	XP_023013215.1
XP_008190663.1	XP_023026577.1
XP_008190668.1	XP_023028504.1
XP_008190669.1	XP_023028405.1
XP_008190670.1	XP_023023578.1
XP_008190672.1	XP_023024702.1
XP_008190686.2	XP_023022813.1
XP_008190695.1	XP_023017471.1
XP_008190697.1	XP_023015849.1
XP_008190698.1	XP_023013468.1
XP_008190705.1	XP_023013467.1
XP_008190706.2	XP_023025692.1
XP_008190712.1	XP_023019656.1
XP_008190717.1	XP_023024638.1
XP_008190736.1	XP_023014441.1
XP_008190743.1	XP_023014443.1
XP_008190747.1	XP_023017922.1
XP_008190748.1	XP_023017921.1
XP_008190750.2	XP_023014440.1
XP_008190758.1	XP_023023401.1
XP_008190759.1	XP_023018314.1
XP_008190770.1	XP_023026440.1
XP_008190773.1	XP_023026441.1
XP_008190774.1	XP_023023407.1
XP_008190778.1	XP_023023471.1
XP_008190783.1	XP_023027670.1
XP_008190792.1	XP_023016536.1
XP_008190793.1	XP_023016533.1
XP_008190794.1	XP_023016538.1
XP_008190797.1	XP_023015712.1
XP_008190804.1	XP_023026501.1
XP_008190810.1	XP_023026566.1
XP_008190811.1	XP_023026567.1
XP_008190812.1	XP_023026568.1
XP_008190814.1	XP_023026549.1
XP_008190815.1	XP_023026514.1
XP_008190816.1	XP_023026560.1
XP_008190817.1	XP_023026521.1
XP_008190818.1	XP_023026522.1
XP_008190819.1	XP_023018353.1
XP_008190822.1	XP_023026523.1
XP_008190823.1	XP_023019303.1
XP_008190824.1	XP_023019249.1
XP_008190826.2	XP_023019261.1
XP_008190827.1	XP_023019365.1
XP_008190829.1	XP_023029859.1
XP_008190831.1	XP_023024512.1
XP_008190834.1	XP_023018771.1
XP_008190836.1	XP_023023866.1
XP_008190837.2	XP_023013108.1
XP_008190844.1	XP_023028110.1
XP_008190846.1	XP_023021994.1
XP_008190852.1	XP_023014910.1
XP_008190857.1	XP_023028422.1
XP_008190860.2	XP_023028797.1
XP_008190864.1	XP_023025095.1
XP_008190865.1	XP_023021561.1
XP_008190868.1	XP_023019946.1
XP_008190869.1	XP_023026196.1
XP_008190873.1	XP_023014457.1
XP_008190881.1	XP_023028590.1
XP_008190883.1	XP_023011857.1
XP_008190890.1	XP_023020489.1
XP_008190891.1	XP_023024122.1
XP_008190895.1	XP_023020488.1
XP_008190896.1	XP_023020021.1
XP_008190899.1	XP_023028171.1
XP_008190900.1	XP_023025281.1
XP_008190901.1	XP_023025861.1
XP_008190905.1	XP_023023573.1
XP_008190906.1	XP_023016580.1
XP_008190908.1	XP_023016582.1
XP_008190910.1	XP_023016587.1
XP_008190912.1	XP_023016579.1
XP_008190914.1	XP_023015602.1
XP_008190916.1	XP_023014731.1
XP_008190917.1	XP_023012489.1
XP_008190918.1	XP_023020902.1
XP_008190924.1	XP_023014734.1
