XP_018560761.1	XP_023021411.1
XP_018560913.1	XP_023027242.1
XP_018560915.1	XP_023021639.1
XP_018560916.1	XP_023021640.1
XP_018560919.1	XP_023029987.1
XP_018560932.1	XP_023024764.1
XP_018560936.1	XP_023025888.1
XP_018560939.1	XP_023029910.1
XP_018560940.1	XP_023029981.1
XP_018560941.1	XP_023016696.1
XP_018560942.1	XP_023028161.1
XP_018560943.1	XP_023016693.1
XP_018560944.1	XP_023015209.1
XP_018560950.1	XP_023016692.1
XP_018560951.1	XP_023012781.1
XP_018560953.1	XP_023016698.1
XP_018560956.1	XP_023015208.1
XP_018560957.1	XP_023030029.1
XP_018560960.1	XP_023018042.1
XP_018560961.1	XP_023012784.1
XP_018560962.1	XP_023015207.1
XP_018560963.1	XP_023022099.1
XP_018560964.1	XP_023015205.1
XP_018560965.1	XP_023022095.1
XP_018560966.1	XP_023016717.1
XP_018560967.1	XP_023015206.1
XP_018560969.1	XP_023015204.1
XP_018560971.1	XP_023018045.1
XP_018560974.1	XP_023016703.1
XP_018560975.1	XP_023016701.1
XP_018560977.1	XP_023016714.1
XP_018560978.1	XP_023016715.1
XP_018560980.1	XP_023016716.1
XP_018560981.1	XP_023016705.1
XP_018560982.1	XP_023016707.1
XP_018560983.1	XP_023019335.1
XP_018560984.1	XP_023028995.1
XP_018560989.1	XP_023017299.1
XP_018560992.1	XP_023019846.1
XP_018560999.1	XP_023015210.1
XP_018561000.1	XP_023015213.1
XP_018561005.1	XP_023019670.1
XP_018561009.1	XP_023012039.1
XP_018561010.1	XP_023018034.1
XP_018561011.1	XP_023012032.1
XP_018561020.1	XP_023019614.1
XP_018561029.1	XP_023022765.1
XP_018561031.1	XP_023027250.1
XP_018561033.1	XP_023012031.1
XP_018561035.1	XP_023012029.1
XP_018561038.1	XP_023027042.1
XP_018561039.1	XP_023029664.1
XP_018561040.1	XP_023012033.1
XP_018561048.1	XP_023029666.1
XP_018561051.1	XP_023016121.1
XP_018561054.1	XP_023025837.1
XP_018561055.1	XP_023024160.1
XP_018561056.1	XP_023029442.1
XP_018561057.1	XP_023029441.1
XP_018561059.1	XP_023029430.1
XP_018561061.1	XP_023029393.1
XP_018561068.1	XP_023018433.1
XP_018561075.1	XP_023012636.1
XP_018561078.1	XP_023017912.1
XP_018561082.1	XP_023025954.1
XP_018561084.1	XP_023013429.1
XP_018561085.1	XP_023027196.1
XP_018561086.1	XP_023030504.1
XP_018561094.1	XP_023015720.1
XP_018561097.1	XP_023012115.1
XP_018561099.1	XP_023026290.1
XP_018561101.1	XP_023015897.1
XP_018561106.1	XP_023018084.1
XP_018561109.1	XP_023018930.1
XP_018561110.1	XP_023025551.1
XP_018561112.1	XP_023023780.1
XP_018561113.1	XP_023024944.1
XP_018561116.1	XP_023023970.1
XP_018561117.1	XP_023026987.1
XP_018561118.1	XP_023014222.1
XP_018561120.1	XP_023013428.1
XP_018561122.1	XP_023030500.1
XP_018561124.1	XP_023027860.1
XP_018561127.1	XP_023015724.1
XP_018561128.1	XP_023029989.1
XP_018561130.1	XP_023018344.1
XP_018561136.1	XP_023018091.1
XP_018561137.1	XP_023017144.1
XP_018561138.1	XP_023026171.1
XP_018561139.1	XP_023023702.1
XP_018561140.1	XP_023023696.1
XP_018561142.1	XP_023023700.1
XP_018561143.1	XP_023023695.1
XP_018561151.1	XP_023023724.1
XP_018561153.1	XP_023021546.1
XP_018561158.1	XP_023013427.1
XP_018561159.1	XP_023012119.1
XP_018561160.1	XP_023017825.1
XP_018561161.1	XP_023012123.1
XP_018561162.1	XP_023012121.1
XP_018561163.1	XP_023012122.1
XP_018561167.1	XP_023027910.1
XP_018561170.1	XP_023018345.1
XP_018561171.1	XP_023018346.1
XP_018561176.1	XP_023021941.1
XP_018561178.1	XP_023018342.1
XP_018561179.1	XP_023018648.1
XP_018561180.1	XP_023027387.1
XP_018561184.1	XP_023024941.1
XP_018561186.1	XP_023024940.1
XP_018561187.1	XP_023018563.1
XP_018561189.1	XP_023023783.1
XP_018561191.1	XP_023023234.1
XP_018561192.1	XP_023012129.1
XP_018561196.1	XP_023012130.1
XP_018561197.1	XP_023023784.1
XP_018561198.1	XP_023012125.1
XP_018561199.1	XP_023012127.1
XP_018561200.1	XP_023028386.1
XP_018561202.1	XP_023017147.1
XP_018561203.1	XP_023017149.1
XP_018561206.1	XP_023013432.1
XP_018561208.1	XP_023014284.1
XP_018561209.1	XP_023014285.1
XP_018561211.1	XP_023013421.1
XP_018561212.1	XP_023012116.1
XP_018561214.1	XP_023012117.1
XP_018561215.1	XP_023020697.1
XP_018561216.1	XP_023026299.1
XP_018561217.1	XP_023026308.1
XP_018561221.1	XP_023012108.1
XP_018561223.1	XP_023012113.1
XP_018561224.1	XP_023023781.1
XP_018561225.1	XP_023022717.1
XP_018561227.1	XP_023022719.1
XP_018561229.1	XP_023024006.1
XP_018561237.1	XP_023021235.1
XP_018561238.1	XP_023012540.1
XP_018561240.1	XP_023012541.1
XP_018561243.1	XP_023025626.1
XP_018561247.1	XP_023021606.1
XP_018561249.1	XP_023027225.1
XP_018561256.1	XP_023029153.1
XP_018561257.2	XP_023022977.1
XP_018561259.1	XP_023017563.1
XP_018561260.1	XP_023024203.1
XP_018561261.1	XP_023026006.1
XP_018561263.1	XP_023022865.1
XP_018561264.1	XP_023017557.1
XP_018561266.1	XP_023023006.1
XP_018561267.1	XP_023017558.1
XP_018561268.1	XP_023025620.1
XP_018561270.1	XP_023024202.1
XP_018561271.1	XP_023020218.1
XP_018561272.1	XP_023023005.1
XP_018561273.1	XP_023024390.1
XP_018561274.1	XP_023026010.1
XP_018561275.1	XP_023016322.1
XP_018561279.1	XP_023029005.1
XP_018561282.1	XP_023018465.1
XP_018561283.1	XP_023016622.1
XP_018561284.1	XP_023020179.1
XP_018561286.1	XP_023020229.1
XP_018561287.1	XP_023020237.1
XP_018561288.1	XP_023030421.1
XP_018561290.1	XP_023026971.1
XP_018561291.1	XP_023021496.1
XP_018561292.1	XP_023024021.1
XP_018561295.1	XP_023016153.1
XP_018561296.1	XP_023021501.1
XP_018561297.1	XP_023030416.1
XP_018561298.1	XP_023029057.1
XP_018561300.1	XP_023029063.1
XP_018561302.1	XP_023027728.1
XP_018561307.1	XP_023017734.1
XP_018561308.1	XP_023025489.1
XP_018561309.1	XP_023012704.1
XP_018561311.1	XP_023029046.1
XP_018561312.1	XP_023029053.1
XP_018561313.1	XP_023029505.1
XP_018561314.1	XP_023029054.1
XP_018561317.1	XP_023017214.1
XP_018561320.1	XP_023025493.1
XP_018561321.1	XP_023022672.1
XP_018561322.1	XP_023029025.1
XP_018561323.1	XP_023017748.1
XP_018561326.1	XP_023025353.1
XP_018561327.1	XP_023029756.1
XP_018561331.1	XP_023012705.1
XP_018561333.1	XP_023029066.1
XP_018561334.1	XP_023029034.1
XP_018561335.1	XP_023011731.1
XP_018561336.1	XP_023029516.1
XP_018561337.1	XP_023029029.1
XP_018561338.1	XP_023020014.1
XP_018561339.1	XP_023012697.1
XP_018561340.1	XP_023012701.1
XP_018561342.1	XP_023029048.1
XP_018561345.1	XP_023012146.1
XP_018561347.1	XP_023021884.1
XP_018561348.1	XP_023021766.1
XP_018561349.1	XP_023028616.1
XP_018561350.1	XP_023029062.1
XP_018561351.1	XP_023012143.1
XP_018561352.1	XP_023014087.1
XP_018561354.1	XP_023029768.1
XP_018561355.1	XP_023029769.1
XP_018561356.1	XP_023017751.1
XP_018561358.1	XP_023017756.1
XP_018561360.1	XP_023022674.1
XP_018561361.1	XP_023017746.1
XP_018561362.1	XP_023017755.1
XP_018561364.1	XP_023029064.1
XP_018561365.1	XP_023029055.1
XP_018561366.1	XP_023025495.1
XP_018561368.1	XP_023014109.1
XP_018561370.1	XP_023017745.1
XP_018561375.1	XP_023012703.1
XP_018561378.1	XP_023013827.1
XP_018561380.1	XP_023025179.1
XP_018561382.1	XP_023014751.1
XP_018561383.1	XP_023015538.1
XP_018561384.1	XP_023011806.1
XP_018561386.1	XP_023013784.1
XP_018561387.1	XP_023013783.1
XP_018561395.1	XP_023019895.1
XP_018561398.1	XP_023018522.1
XP_018561399.1	XP_023016928.1
XP_018561400.1	XP_023022085.1
XP_018561401.1	XP_023027221.1
XP_018561403.1	XP_023019921.1
XP_018561404.1	XP_023019896.1
XP_018561405.1	XP_023019897.1
XP_018561409.1	XP_023021257.1
XP_018561411.1	XP_023021729.1
XP_018561412.1	XP_023026250.1
XP_018561416.1	XP_023025463.1
XP_018561417.1	XP_023021762.1
XP_018561418.1	XP_023018225.1
XP_018561419.1	XP_023018226.1
XP_018561422.1	XP_023012324.1
XP_018561424.1	XP_023024677.1
XP_018561425.1	XP_023024679.1
XP_018561430.1	XP_023018592.1
XP_018561431.1	XP_023016926.1
XP_018561432.2	XP_023029241.1
XP_018561436.1	XP_023029248.1
XP_018561438.1	XP_023016955.1
XP_018561439.1	XP_023022406.1
XP_018561442.1	XP_023013996.1
XP_018561445.1	XP_023017899.1
XP_018561446.1	XP_023013325.1
XP_018561447.1	XP_023014333.1
XP_018561448.1	XP_023019600.1
XP_018561449.1	XP_023029500.1
XP_018561451.2	XP_023012692.1
XP_018561452.1	XP_023030134.1
XP_018561453.1	XP_023030127.1
XP_018561454.1	XP_023030129.1
XP_018561456.1	XP_023030131.1
XP_018561458.1	XP_023020575.1
XP_018561463.1	XP_023014331.1
XP_018561464.1	XP_023013326.1
XP_018561468.1	XP_023026203.1
XP_018561469.1	XP_023014744.1
XP_018561471.1	XP_023021834.1
XP_018561476.1	XP_023030135.1
XP_018561477.1	XP_023014334.1
XP_018561480.1	XP_023014748.1
XP_018561481.1	XP_023026117.1
XP_018561483.1	XP_023012970.1
XP_018561484.1	XP_023028485.1
XP_018561489.1	XP_023019401.1
XP_018561490.1	XP_023012961.1
XP_018561492.1	XP_023012962.1
XP_018561494.1	XP_023012963.1
XP_018561495.1	XP_023012966.1
XP_018561497.1	XP_023012968.1
XP_018561505.1	XP_023014752.1
XP_018561519.1	XP_023023041.1
XP_018561521.1	XP_023027169.1
XP_018561532.1	XP_023029740.1
XP_018561533.1	XP_023012788.1
XP_018561535.1	XP_023012790.1
XP_018561536.1	XP_023016128.1
XP_018561537.1	XP_023012785.1
XP_018561539.1	XP_023012786.1
XP_018561541.1	XP_023018456.1
XP_018561543.1	XP_023029402.1
XP_018561544.1	XP_023021219.1
XP_018561545.1	XP_023029401.1
XP_018561547.1	XP_023012787.1
XP_018561548.1	XP_023027973.1
XP_018561550.1	XP_023025312.1
XP_018561554.1	XP_023025164.1
XP_018561556.1	XP_023029421.1
XP_018561560.1	XP_023016386.1
XP_018561567.1	XP_023029719.1
XP_018561568.1	XP_023016347.1
XP_018561569.1	XP_023020345.1
XP_018561570.1	XP_023020338.1
XP_018561571.1	XP_023025587.1
XP_018561573.1	XP_023017649.1
XP_018561575.1	XP_023020343.1
XP_018561576.1	XP_023016334.1
XP_018561577.1	XP_023016335.1
XP_018561581.1	XP_023029728.1
XP_018561584.1	XP_023019040.1
XP_018561589.1	XP_023021111.1
XP_018561592.1	XP_023020364.1
XP_018561594.1	XP_023019044.1
XP_018561595.1	XP_023020315.1
XP_018561596.1	XP_023025586.1
XP_018561597.1	XP_023020357.1
XP_018561599.1	XP_023013652.1
XP_018561600.1	XP_023019041.1
XP_018561601.1	XP_023019054.1
XP_018561602.1	XP_023013936.1
XP_018561603.1	XP_023017009.1
XP_018561605.1	XP_023013939.1
XP_018561606.1	XP_023020051.1
XP_018561607.1	XP_023029517.1
XP_018561608.1	XP_023013930.1
XP_018561610.1	XP_023021112.1
XP_018561611.1	XP_023014037.1
XP_018561614.2	XP_023023553.1
XP_018561616.1	XP_023013625.1
XP_018561620.1	XP_023013635.1
XP_018561621.1	XP_023013634.1
XP_018561622.1	XP_023020378.1
XP_018561624.1	XP_023019042.1
XP_018561630.1	XP_023022209.1
XP_018561634.1	XP_023022208.1
XP_018561635.1	XP_023019053.1
XP_018561637.1	XP_023026968.1
XP_018561638.1	XP_023024357.1
XP_018561639.1	XP_023026926.1
XP_018561641.1	XP_023024356.1
XP_018561642.1	XP_023023366.1
XP_018561643.1	XP_023020050.1
XP_018561644.1	XP_023020046.1
XP_018561647.1	XP_023021754.1
XP_018561650.1	XP_023014036.1
XP_018561652.1	XP_023013638.1
XP_018561653.1	XP_023013639.1
XP_018561655.1	XP_023028065.1
XP_018561656.1	XP_023021372.1
XP_018561661.1	XP_023021374.1
XP_018561662.1	XP_023014750.1
XP_018561666.1	XP_023014039.1
XP_018561668.1	XP_023020049.1
XP_018561670.1	XP_023016604.1
XP_018561671.1	XP_023020048.1
XP_018561672.1	XP_023020044.1
XP_018561675.1	XP_023013629.1
XP_018561676.1	XP_023020437.1
XP_018561678.1	XP_023026850.1
XP_018561681.1	XP_023012619.1
XP_018561682.1	XP_023018564.1
XP_018561683.1	XP_023018791.1
XP_018561685.1	XP_023018780.1
XP_018561686.1	XP_023018788.1
XP_018561687.1	XP_023012341.1
XP_018561688.1	XP_023018778.1
XP_018561689.1	XP_023027707.1
XP_018561691.1	XP_023024372.1
XP_018561692.1	XP_023018777.1
XP_018561693.1	XP_023018784.1
XP_018561694.1	XP_023029973.1
XP_018561697.1	XP_023018774.1
XP_018561701.1	XP_023023053.1
XP_018561710.1	XP_023018789.1
XP_018561711.1	XP_023018786.1
XP_018561712.1	XP_023012708.1
XP_018561714.1	XP_023012713.1
XP_018561715.1	XP_023012714.1
XP_018561717.1	XP_023012716.1
XP_018561720.1	XP_023018775.1
XP_018561722.1	XP_023012618.1
XP_018561723.1	XP_023018628.1
XP_018561726.1	XP_023028209.1
XP_018561727.1	XP_023024377.1
XP_018561728.1	XP_023029970.1
XP_018561729.1	XP_023015203.1
XP_018561730.1	XP_023013610.1
XP_018561732.1	XP_023029758.1
XP_018561733.1	XP_023018773.1
XP_018561734.1	XP_023018772.1
XP_018561736.1	XP_023029966.1
XP_018561742.1	XP_023013913.1
XP_018561743.1	XP_023013911.1
XP_018561744.1	XP_023029779.1
XP_018561745.1	XP_023016408.1
XP_018561746.1	XP_023024513.1
XP_018561748.1	XP_023013923.1
XP_018561749.1	XP_023013928.1
XP_018561750.1	XP_023021704.1
XP_018561753.1	XP_023013922.1
XP_018561754.1	XP_023017947.1
XP_018561756.1	XP_023024392.1
XP_018561757.1	XP_023017946.1
XP_018561762.1	XP_023016108.1
XP_018561763.1	XP_023016109.1
XP_018561764.1	XP_023016104.1
XP_018561765.1	XP_023016105.1
XP_018561766.1	XP_023022571.1
XP_018561767.1	XP_023017948.1
XP_018561770.1	XP_023016110.1
XP_018561771.1	XP_023016106.1
XP_018561772.1	XP_023014698.1
XP_018561773.1	XP_023014697.1
XP_018561774.1	XP_023016363.1
XP_018561776.1	XP_023013926.1
XP_018561784.1	XP_023029774.1
XP_018561788.1	XP_023027879.1
XP_018561789.1	XP_023027880.1
XP_018561790.1	XP_023015588.1
XP_018561792.1	XP_023015584.1
XP_018561793.1	XP_023027882.1
XP_018561796.1	XP_023029755.1
XP_018561805.1	XP_023025414.1
XP_018561807.1	XP_023028998.1
XP_018561809.1	XP_023019527.1
XP_018561810.1	XP_023019530.1
XP_018561811.1	XP_023019529.1
XP_018561812.1	XP_023023655.1
XP_018561813.1	XP_023028034.1
XP_018561814.1	XP_023024148.1
XP_018561815.1	XP_023024155.1
XP_018561817.1	XP_023021773.1
XP_018561819.1	XP_023025765.1
XP_018561821.1	XP_023022917.1
XP_018561822.1	XP_023024402.1
XP_018561823.2	XP_023019907.1
XP_018561824.1	XP_023022116.1
XP_018561825.1	XP_023025812.1
XP_018561826.1	XP_023025809.1
XP_018561828.1	XP_023019905.1
XP_018561829.1	XP_023020108.1
XP_018561833.1	XP_023016942.1
XP_018561835.1	XP_023024401.1
XP_018561840.1	XP_023019909.1
XP_018561842.1	XP_023019911.1
XP_018561843.1	XP_023019915.1
XP_018561844.1	XP_023019917.1
XP_018561845.1	XP_023019906.1
XP_018561846.1	XP_023029367.1
XP_018561847.1	XP_023015259.1
XP_018561849.1	XP_023016940.1
XP_018561853.1	XP_023029365.1
XP_018561854.1	XP_023029366.1
XP_018561855.1	XP_023029371.1
XP_018561857.1	XP_023025810.1
XP_018561858.1	XP_023015961.1
XP_018561859.1	XP_023019918.1
XP_018561860.1	XP_023024595.1
XP_018561864.1	XP_023024129.1
XP_018561865.2	XP_023025750.1
XP_018561869.1	XP_023012987.1
XP_018561871.1	XP_023029354.1
XP_018561874.1	XP_023029362.1
XP_018561878.1	XP_023023017.1
XP_018561883.1	XP_023029361.1
XP_018561885.1	XP_023012986.1
XP_018561886.1	XP_023012988.1
XP_018561894.1	XP_023029502.1
XP_018561896.1	XP_023029355.1
XP_018561901.1	XP_023026609.1
XP_018561902.1	XP_023023161.1
XP_018561905.1	XP_023011682.1
XP_018561907.1	XP_023018488.1
XP_018561908.1	XP_023026216.1
XP_018561916.1	XP_023026775.1
XP_018561917.1	XP_023029394.1
XP_018561919.1	XP_023025058.1
XP_018561920.1	XP_023025707.1
XP_018561923.1	XP_023011683.1
XP_018561927.1	XP_023017002.1
XP_018561928.1	XP_023023238.1
XP_018561930.1	XP_023013935.1
XP_018561931.1	XP_023013934.1
XP_018561933.1	XP_023018483.1
XP_018561934.1	XP_023014745.1
XP_018561935.1	XP_023018487.1
XP_018561936.1	XP_023018254.1
XP_018561937.1	XP_023013932.1
XP_018561938.1	XP_023013931.1
XP_018561939.1	XP_023023651.1
XP_018561941.1	XP_023028751.1
XP_018561942.1	XP_023014746.1
XP_018561945.1	XP_023018482.1
XP_018561948.1	XP_023023602.1
XP_018561950.1	XP_023023601.1
XP_018561952.1	XP_023023598.1
XP_018561954.1	XP_023016006.1
XP_018561955.1	XP_023026123.1
XP_018561956.1	XP_023016130.1
XP_018561958.1	XP_023011691.1
XP_018561959.1	XP_023011688.1
XP_018561960.1	XP_023019636.1
XP_018561962.1	XP_023016664.1
XP_018561963.1	XP_023016669.1
XP_018561964.1	XP_023012668.1
XP_018561976.1	XP_023029396.1
XP_018561977.1	XP_023018354.1
XP_018561978.1	XP_023023235.1
XP_018561981.1	XP_023021775.1
XP_018561983.1	XP_023012669.1
XP_018561984.1	XP_023018486.1
XP_018561987.1	XP_023011684.1
XP_018561988.1	XP_023011686.1
XP_018561989.2	XP_023025425.1
XP_018561991.1	XP_023029964.1
XP_018561992.1	XP_023029961.1
XP_018561994.1	XP_023029949.1
XP_018561999.1	XP_023029955.1
XP_018562002.1	XP_023029958.1
XP_018562003.1	XP_023022666.1
XP_018562004.1	XP_023027407.1
XP_018562005.1	XP_023029936.1
XP_018562006.1	XP_023029939.1
XP_018562008.1	XP_023029941.1
XP_018562009.1	XP_023029951.1
XP_018562010.1	XP_023029952.1
XP_018562011.1	XP_023029953.1
XP_018562012.1	XP_023029954.1
XP_018562013.1	XP_023029943.1
XP_018562015.1	XP_023029945.1
XP_018562017.1	XP_023029946.1
XP_018562018.1	XP_023029956.1
XP_018562020.1	XP_023029962.1
XP_018562021.1	XP_023029957.1
XP_018562024.1	XP_023025423.1
XP_018562026.1	XP_023029932.1
XP_018562027.1	XP_023016182.1
XP_018562028.1	XP_023016181.1
XP_018562030.1	XP_023026948.1
XP_018562034.1	XP_023022951.1
XP_018562035.1	XP_023019736.1
XP_018562036.1	XP_023012239.1
XP_018562037.1	XP_023019739.1
XP_018562038.1	XP_023019735.1
XP_018562039.1	XP_023012223.1
XP_018562040.1	XP_023012225.1
XP_018562046.1	XP_023025384.1
XP_018562047.1	XP_023022948.1
XP_018562048.1	XP_023021512.1
XP_018562049.1	XP_023016792.1
XP_018562050.1	XP_023016794.1
XP_018562051.1	XP_023016793.1
XP_018562052.1	XP_023016796.1
XP_018562053.1	XP_023016797.1
XP_018562054.1	XP_023016798.1
XP_018562055.1	XP_023016799.1
XP_018562059.1	XP_023016800.1
XP_018562061.1	XP_023024406.1
XP_018562063.1	XP_023016802.1
XP_018562064.1	XP_023012221.1
XP_018562065.2	XP_023024593.1
XP_018562067.1	XP_023025031.1
XP_018562068.1	XP_023016764.1
XP_018562069.1	XP_023015134.1
XP_018562076.2	XP_023021791.1
XP_018562085.1	XP_023015877.1
XP_018562086.1	XP_023027987.1
XP_018562087.1	XP_023021786.1
XP_018562088.1	XP_023015880.1
XP_018562091.1	XP_023015875.1
XP_018562092.1	XP_023015871.1
XP_018562101.1	XP_023027359.1
XP_018562103.1	XP_023023628.1
XP_018562105.1	XP_023012305.1
XP_018562117.1	XP_023012709.1
XP_018562119.1	XP_023019465.1
XP_018562122.1	XP_023022347.1
XP_018562124.1	XP_023012711.1
XP_018562128.1	XP_023021910.1
XP_018562130.1	XP_023017505.1
XP_018562133.1	XP_023022351.1
XP_018562134.1	XP_023022352.1
XP_018562135.1	XP_023022346.1
XP_018562136.1	XP_023026189.1
XP_018562137.1	XP_023026190.1
XP_018562138.1	XP_023026486.1
XP_018562141.1	XP_023013651.1
XP_018562143.1	XP_023022264.1
XP_018562148.1	XP_023018107.1
XP_018562151.1	XP_023014772.1
XP_018562153.1	XP_023017450.1
XP_018562155.1	XP_023017449.1
XP_018562159.1	XP_023028258.1
XP_018562160.1	XP_023027228.1
XP_018562165.1	XP_023018106.1
XP_018562168.1	XP_023019193.1
XP_018562170.1	XP_023017348.1
XP_018562172.1	XP_023017342.1
XP_018562173.1	XP_023017339.1
XP_018562174.1	XP_023016617.1
XP_018562175.1	XP_023026727.1
XP_018562176.1	XP_023016618.1
XP_018562177.1	XP_023017340.1
XP_018562178.1	XP_023017341.1
XP_018562180.1	XP_023017395.1
XP_018562183.1	XP_023017373.1
XP_018562185.1	XP_023017349.1
XP_018562186.1	XP_023024555.1
XP_018562187.1	XP_023024556.1
XP_018562188.1	XP_023012303.1
XP_018562189.1	XP_023023524.1
XP_018562191.1	XP_023026210.1
XP_018562192.1	XP_023020184.1
XP_018562193.1	XP_023023521.1
XP_018562195.1	XP_023017356.1
XP_018562196.1	XP_023020245.1
XP_018562199.1	XP_023021569.1
XP_018562203.1	XP_023023926.1
XP_018562204.1	XP_023023924.1
XP_018562208.1	XP_023012485.1
XP_018562210.1	XP_023025865.1
XP_018562211.1	XP_023016557.1
XP_018562212.1	XP_023024196.1
XP_018562214.1	XP_023020776.1
XP_018562216.1	XP_023025563.1
XP_018562217.1	XP_023027127.1
XP_018562222.1	XP_023028136.1
XP_018562224.1	XP_023026313.1
XP_018562226.1	XP_023026027.1
XP_018562229.1	XP_023026451.1
XP_018562230.1	XP_023024680.1
XP_018562231.1	XP_023024681.1
XP_018562236.1	XP_023027840.1
XP_018562238.1	XP_023026651.1
XP_018562239.1	XP_023027126.1
XP_018562242.1	XP_023024186.1
XP_018562243.1	XP_023024187.1
XP_018562244.1	XP_023024682.1
XP_018562245.1	XP_023024065.1
XP_018562247.1	XP_023025732.1
XP_018562248.1	XP_023021564.1
XP_018562249.1	XP_023013799.1
XP_018562250.1	XP_023026941.1
XP_018562253.1	XP_023026389.1
XP_018562255.1	XP_023026391.1
XP_018562256.1	XP_023026387.1
XP_018562257.1	XP_023026233.1
XP_018562260.1	XP_023020772.1
XP_018562261.1	XP_023022943.1
XP_018562262.1	XP_023022546.1
XP_018562263.1	XP_023017347.1
XP_018562265.1	XP_023025564.1
XP_018562267.1	XP_023024500.1
XP_018562268.1	XP_023026234.1
XP_018562273.1	XP_023022949.1
XP_018562274.1	XP_023026629.1
XP_018562276.1	XP_023020177.1
XP_018562277.1	XP_023015528.1
XP_018562279.1	XP_023020176.1
XP_018562280.1	XP_023018864.1
XP_018562281.1	XP_023026601.1
XP_018562284.1	XP_023012698.1
XP_018562285.1	XP_023028108.1
XP_018562286.1	XP_023026943.1
XP_018562295.1	XP_023019559.1
XP_018562297.1	XP_023019564.1
XP_018562298.1	XP_023020759.1
XP_018562299.1	XP_023013691.1
XP_018562300.1	XP_023020757.1
XP_018562302.1	XP_023020758.1
XP_018562304.1	XP_023026942.1
XP_018562306.1	XP_023029617.1
XP_018562312.1	XP_023029033.1
XP_018562314.1	XP_023029036.1
XP_018562318.1	XP_023029035.1
XP_018562319.1	XP_023029623.1
XP_018562322.1	XP_023029611.1
XP_018562323.1	XP_023029071.1
XP_018562325.1	XP_023015891.1
XP_018562326.2	XP_023029610.1
XP_018562330.1	XP_023029613.1
XP_018562331.1	XP_023029614.1
XP_018562334.1	XP_023029072.1
XP_018562343.1	XP_023015895.1
XP_018562345.1	XP_023017235.1
XP_018562346.1	XP_023029621.1
XP_018562347.1	XP_023028021.1
XP_018562348.1	XP_023029615.1
XP_018562349.1	XP_023029616.1
XP_018562364.1	XP_023014614.1
XP_018562366.1	XP_023014625.1
XP_018562368.1	XP_023015410.1
XP_018562369.1	XP_023014624.1
XP_018562372.1	XP_023014615.1
XP_018562373.1	XP_023014618.1
XP_018562376.1	XP_023014582.1
XP_018562379.1	XP_023014613.1
XP_018562380.1	XP_023025092.1
XP_018562381.1	XP_023014612.1
XP_018562387.1	XP_023021982.1
XP_018562388.1	XP_023017570.1
XP_018562392.1	XP_023021568.1
XP_018562394.1	XP_023012494.1
XP_018562395.1	XP_023028307.1
XP_018562396.1	XP_023026652.1
XP_018562399.1	XP_023026208.1
XP_018562401.1	XP_023012495.1
XP_018562402.1	XP_023017945.1
XP_018562403.1	XP_023012149.1
XP_018562404.1	XP_023014393.1
XP_018562406.1	XP_023013753.1
XP_018562407.1	XP_023013645.1
XP_018562409.1	XP_023021405.1
